"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1381. ","Casa Blanca Mexican Restaurant","(978) 289-4165","https://www.yellowpages.com/andover-ma/mip/casa-blanca-mexican-restaurant-456699081","Mexican Restaurants,Take Out Restaurants,American Restaurants","http://casablancamexican.com","","10 Main St Ste 12","Andover","MA","01810","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
"1382. ","Perkins Restaurant & Bakery","(508) 376-4115","https://www.yellowpages.com/holliston-ma/mip/perkins-restaurant-bakery-891631","American Restaurants,Restaurants,Bakeries","http://www.perkinsrestaurants.com","","350 Norfolk St","Holliston","MA","01746","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
"1383. ","Takara Japanese Restaurant","(508) 359-7888","https://www.yellowpages.com/medfield-ma/mip/takara-japanese-restaurant-460501677","Japanese Restaurants,Caterers,Asian Restaurants","http://www.takarajapaneserestaurant.com","","1 Green St","Medfield","MA","02052","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
"1384. ","Michaels Restaurant Rte","(978) 371-1114","https://www.yellowpages.com/concord-ma/mip/michaels-restaurant-rte-26200378","Bars,Restaurants,Italian Restaurants","http://www.michaelsconcord.com","","208 Old Road To 9 Acre Cor","Concord","MA","01742","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
"1385. ","China Jade Restaurant","(978) 922-3035","https://www.yellowpages.com/beverly-ma/mip/china-jade-restaurant-455541500","Chinese Restaurants,Asian Restaurants,Take Out Restaurants","http://www.chinajadebeverly.com","","44 Dodge St","Beverly","MA","01915","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
"1386. ","Cheng's Garden Restaurant","(508) 584-4666","https://www.yellowpages.com/brockton-ma/mip/chengs-garden-restaurant-19079185","Chinese Restaurants,Restaurants","https://www.manta.com/c/mmqg3rs/cheng-s-garden-restaurant","","258 N Main St","Brockton","MA","02301","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
"1387. ","Deli King Restaurant","(978) 858-3855","https://www.yellowpages.com/tewksbury-ma/mip/deli-king-restaurant-14095612","Delicatessens,Bagels,Restaurants","http://www.delikingrestaurant.com","","885 Main St","Tewksbury","MA","01876","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
"1388. ","East Coast Restaurant","(508) 698-4959","https://www.yellowpages.com/foxboro-ma/mip/east-coast-restaurant-475201012","Family Style Restaurants,Restaurants","","","232 Patriot Pl","Foxboro","MA","02035","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
"1389. ","Raptor Restaurant Group","(774) 215-5279","https://www.yellowpages.com/foxboro-ma/mip/raptor-restaurant-group-475961534","Family Style Restaurants,Delicatessens,Sandwich Shops","","","265 Patriot Pl","Foxboro","MA","02035","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
"1390. ","Ninety-Nine Restaurant and Pub","(978) 369-0300","https://www.yellowpages.com/concord-ma/mip/ninety-nine-restaurant-and-pub-13744425","American Restaurants,Bars,Restaurants","http://www.99restaurants.com","1","13 Commonwealth Ave","Concord","MA","01742","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=47"
