"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1501. ","Mockingbird Restaurant","(508) 378-4911","https://www.yellowpages.com/east-bridgewater-ma/mip/mockingbird-restaurant-2761759","American Restaurants,Pizza,Caterers","http://www.mockingbirdrestaurant.com","1","838 N Bedford St","East Bridgewater","MA","02333","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
"1502. ","Yangtze River Restaurant","(978) 486-0500","https://www.yellowpages.com/littleton-ma/mip/yangtze-river-restaurant-3383870","Asian Restaurants,Chinese Restaurants,Take Out Restaurants","http://www.yangtzelexington.com","1","584 King St","Littleton","MA","01460","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
"1503. ","Dicor Restaurant","(978) 688-0099","https://www.yellowpages.com/north-andover-ma/mip/dicor-restaurant-510103849","Italian Restaurants,Coffee Shops,Family Style Restaurants","http://dicorrestaurant.com","1","1060 Osgood St","North Andover","MA","01845","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
"1504. ","The Irish Cottage Restaurant and Pub","(978) 208-4347","https://www.yellowpages.com/methuen-ma/mip/the-irish-cottage-restaurant-and-pub-508822930","Irish Restaurants,American Restaurants,Take Out Restaurants","http://www.theirishcottagepub.com","1","1111 Riverside Dr, Methuen","Methuen","MA","01844","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
"1505. ","Johnny Jacks Restaurant","(508) 478-2230","https://www.yellowpages.com/milford-ma/mip/johnny-jacks-restaurant-4522098","American Restaurants,Restaurants","","1","220 Main St","Milford","MA","01757","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
"1506. ","Fuhing Chinese Restaurant","(978) 683-3333","https://www.yellowpages.com/methuen-ma/mip/fuhing-chinese-restaurant-11092494","Chinese Restaurants,Asian Restaurants,Take Out Restaurants","http://www.fuhing.net","1","49 Jackson St","Methuen","MA","01844","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
"1507. ","My Sister & I Restaurant","(508) 697-9544","https://www.yellowpages.com/bridgewater-ma/mip/my-sister-i-restaurant-5250276","Asian Restaurants,Chinese Restaurants,Take Out Restaurants","","1","42 Central Sq","Bridgewater","MA","02324","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
"1508. ","Mandarin Restaurant","(508) 366-2288","https://www.yellowpages.com/westborough-ma/mip/mandarin-restaurant-2870606","Asian Restaurants,Caterers,Take Out Restaurants","http://www.mandarinwb.com","1","132 Turnpike Rd","Westborough","MA","01581","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
"1509. ","Sapporo Restaurant","(508) 898-1880","https://www.yellowpages.com/westborough-ma/mip/sapporo-restaurant-5296300","Sushi Bars,Japanese Restaurants,Korean Restaurants","http://www.sapporobbq.com","1","50 E Main St","Westborough","MA","01581","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
"1510. ","Golden House Restaurant","(978) 688-0220","https://www.yellowpages.com/lawrence-ma/mip/golden-house-restaurant-9299792","Chinese Restaurants,Take Out Restaurants,Caterers","","2","129 S Broadway","Lawrence","MA","01843","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=51"
