"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"661. ","Dar Hee Restaurant","(617) 389-7099","https://www.yellowpages.com/everett-ma/mip/dar-hee-restaurant-5753617","Chinese Restaurants,Family Style Restaurants,Chinese Grocery Stores","https://darheerestaurant.netwaiter.com/everett/about","","411 Ferry St","Everett","MA","02149","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
"662. ","Bahia Restaurant","(617) 294-1395","https://www.yellowpages.com/everett-ma/mip/bahia-restaurant-469152197","Family Style Restaurants,Restaurants","","","550 Ferry St","Everett","MA","02149","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
"663. ","Gt Restaurants","(781) 480-3750","https://www.yellowpages.com/malden-ma/mip/gt-restaurants-543744656","Family Style Restaurants,Restaurants","","","215 Ferry St","Malden","MA","02148","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
"664. ","Kee Kar Lau Restaurant","(617) 623-4378","https://www.yellowpages.com/somerville-ma/mip/kee-kar-lau-restaurant-5660629","Chinese Restaurants,Family Style Restaurants,Asian Restaurants","","","1158 Broadway","Somerville","MA","02144","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
"665. ","Yong Yong Chinese Restaurant","(781) 322-8886","https://www.yellowpages.com/malden-ma/mip/yong-yong-chinese-restaurant-495659707","Chinese Restaurants,Family Style Restaurants,Asian Restaurants","http://www.yongyongmalden.com","","100 Ferry St","Malden","MA","02148","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
"666. ","Fuloon Restaurant","(781) 388-3338","https://www.yellowpages.com/malden-ma/mip/fuloon-restaurant-8917971","Chinese Restaurants,Restaurants","","","375 Main St","Malden","MA","02148","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
"667. ","Seoul Korean Restaurant","(781) 391-5606","https://www.yellowpages.com/medford-ma/mip/seoul-korean-restaurant-480975930","Korean Restaurants,Asian Restaurants,Restaurants","","","27 Riverside Ave","Medford","MA","02155","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
"668. ","Malden Restaurant Services","(855) 714-5507","https://www.yellowpages.com/malden-ma/mip/malden-restaurant-services-462543550","Career & Vocational Counseling","","","6 Pleasant St Ste 213","Malden","MA","02148","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
"669. ","Mei-Ling Restaurant","(781) 391-5411","https://www.yellowpages.com/medford-ma/mip/mei-ling-restaurant-2860776","Asian Restaurants,Take Out Restaurants,Chinese Restaurants","https://meilingrestaurant.com","","434 Salem St","Medford","MA","02155","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
"670. ","Mei-Ling Restaurant","(781) 391-5411","https://www.yellowpages.com/medford-ma/mip/mei-ling-restaurant-535264042","Chinese Grocery Stores,Chinese Restaurants,Restaurants","http://meilingrestaurant.com","","434a Salem St","Medford","MA","02155","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=23"
