"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"31. ","New Dong Khanh Restaurant","(617) 426-9410","https://www.yellowpages.com/boston-ma/mip/new-dong-khanh-restaurant-538666603","Vietnamese Restaurants,Family Style Restaurants,Take Out Restaurants","http://www.newdongkhanh.com","3","83 Harrison Ave","Boston","MA","02111","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"32. ","Bristol Restaurant and Bar","(617) 351-2037","https://www.yellowpages.com/boston-ma/mip/bristol-restaurant-and-bar-532806305","American Restaurants,Restaurants","http://www.bristolboston.com","2","200 Boylston St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"33. ","The Q Restaurant","(857) 350-3968","https://www.yellowpages.com/boston-ma/mip/the-q-restaurant-460163278","Sushi Bars,Bars,Cocktail Lounges","http://www.thequsa.com","1","660 Washington St","Boston","MA","02111","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"34. ","Al Dente Restaurant","(617) 523-0990","https://www.yellowpages.com/boston-ma/mip/al-dente-restaurant-10421598","Italian Restaurants,Caterers,Mediterranean Restaurants","http://www.aldenteboston.com","1","109 Salem St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"35. ","Barlow's Restaurant","(617) 338-2142","https://www.yellowpages.com/boston-ma/mip/barlows-restaurant-26176708","American Restaurants,Caterers,Bars","http://www.barlowsrestaurant.com","1","241 A St Ste 100","Boston","MA","02210","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"36. ","Zen Restaurant","(617) 371-1230","https://www.yellowpages.com/boston-ma/mip/zen-restaurant-461825018","Japanese Restaurants,Asian Restaurants,Family Style Restaurants","http://www.thequsa.com","1","21a Beacon St","Boston","MA","02108","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"37. ","Monica's Restaurant","(617) 227-0311","https://www.yellowpages.com/boston-ma/mip/monicas-restaurant-7997005","Italian Restaurants,Pizza,Restaurants","http://monicasboston.com","1","143 Richmond St","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"38. ","Mast Restaurant And Drinkery","(617) 936-3800","https://www.yellowpages.com/boston-ma/mip/mast-restaurant-and-drinkery-496229763","Italian Restaurants,Pizza,Bars","http://www.mastboston.com","","45 Province St","Boston","MA","02108","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"39. ","Northeast Restaurant Group","(617) 564-1448","https://www.yellowpages.com/boston-ma/mip/northeast-restaurant-group-481858006","Business Brokers,Real Estate Agents,Restaurants","http://nerest.com","","225 Franklin St 26th Floor","Boston","MA","02110","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"40. ","Causeway Restaurant & Bar","(617) 227-9100","https://www.yellowpages.com/boston-ma/mip/causeway-restaurant-bar-474575815","Barbecue Restaurants,Bars,Caterers","http://www.causewayboston.com","","65 Causeway St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"41. ","Little Lamb Hot Pot Restaurant","(857) 277-1000","https://www.yellowpages.com/boston-ma/mip/little-lamb-hot-pot-restaurant-544932336","Asian Restaurants,Family Style Restaurants,Chinese Restaurants","http://www.facebook.com/HappyLambHotPotBoston","","695 Washington St","Boston","MA","02111","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"42. ","Perkins Restaurant & Bakery","(617) 757-7300","https://www.yellowpages.com/boston-ma/mip/perkins-restaurant-bakery-472446695","American Restaurants,Restaurants,Bakeries","http://www.perkinsrestaurants.com","","44 Farnsworth St","Boston","MA","02210","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
"43. ","Spire Restaurant","(617) 772-0232","https://www.yellowpages.com/boston-ma/mip/spire-restaurant-453129978","Family Style Restaurants,Restaurants","http://www.wespire.com","","90 Tremont St","Boston","MA","02108","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=2"
