"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1141. ","Bay State Restaurant Products Inc","(855) 680-0435","https://www.yellowpages.com/brockton-ma/mip/bay-state-restaurant-products-inc-9668117?lid=1001933431098","Major Appliances,Restaurant Equipment & Supplies,Restaurant Equipment-Repair & Service","","","9 Hervey St","Brockton","MA","02301","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1142. ","Dolphin Seafood Restaurant","(508) 655-0669","https://www.yellowpages.com/natick-ma/mip/dolphin-seafood-restaurant-2612773?lid=1001295945645","Bars,Restaurants,Seafood Restaurants","http://www.dolphinseafood.com","4","12 Washington St","Natick","MA","01760","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1143. ","Ninety-Nine Restaurant and Pub","(978) 863-9099","https://www.yellowpages.com/tewksbury-ma/mip/ninety-nine-restaurant-and-pub-467452828","American Restaurants,Restaurants,Taverns","http://www.99restaurants.com","1","401 Main St","Tewksbury","MA","01876","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1144. ","Main Dragon Restaurant","(508) 583-9951","https://www.yellowpages.com/brockton-ma/mip/main-dragon-restaurant-13260172","Chinese Restaurants,Asian Restaurants,Restaurants","","1","1040 Main St","Brockton","MA","02301","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1145. ","Bertucci's Italian Restaurant","(781) 762-4155","https://www.yellowpages.com/norwood-ma/mip/bertuccis-italian-restaurant-8837609","Italian Restaurants,Restaurants,Pizza","https://www.bertuccis.com/?y_source=1_OTkwNTgwNi01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","1","1405 Boston Providence Tpke","Norwood","MA","02062","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1146. ","Bertucci's Italian Restaurant","(508) 879-9161","https://www.yellowpages.com/framingham-ma/mip/bertuccis-italian-restaurant-1583821","Italian Restaurants,Restaurants,Pizza","https://www.bertuccis.com/?y_source=1_OTkwNTc4NC01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","1","150 Worcester Rd","Framingham","MA","01702","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1147. ","Frank's Restaurant","(508) 588-9604","https://www.yellowpages.com/brockton-ma/mip/franks-restaurant-13715190","American Restaurants,Take Out Restaurants,Seafood Restaurants","https://www.facebook.com/pages/Franks-Restaurant/116257771734910","1","265 N Pearl St","Brockton","MA","02301","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1148. ","Joe Fish Seafood Restaurant And Bar","(978) 207-0357","https://www.yellowpages.com/north-reading-ma/mip/joe-fish-seafood-restaurant-and-bar-475496033","Seafood Restaurants,Caterers,American Restaurants","http://www.joefish.com","","60 Main St","North Reading","MA","01864","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1149. ","Wu Loon Ming Restaurant","(978) 663-9090","https://www.yellowpages.com/north-billerica-ma/mip/wu-loon-ming-restaurant-511220","Chinese Restaurants,Japanese Restaurants,Asian Restaurants","http://www.wuloonming.com","4","8 Chelmsford Rd","North Billerica","MA","01862","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1150. ","Bella's Italian Restaurant","(781) 871-5789","https://www.yellowpages.com/rockland-ma/mip/bellas-italian-restaurant-706818","Italian Restaurants,American Restaurants,Family Style Restaurants","http://www.bellasrestaurant.com","4","933 Hingham St","Rockland","MA","02370","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1151. ","Kitty's Restaurant & Lounge","(978) 664-4541","https://www.yellowpages.com/north-reading-ma/mip/kittys-restaurant-lounge-3696003","American Restaurants,Pizza,Bar & Grills","http://www.kittysrestaurant.com","5","123 Main St","North Reading","MA","01864","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1152. ","Strawberry Fair Restaurant","(781) 878-7878","https://www.yellowpages.com/norwell-ma/mip/strawberry-fair-restaurant-3695289","American Restaurants,Irish Restaurants,Soul Food Restaurants","https://www.thestrawberryfair.com","3","14 Pond St","Norwell","MA","02061","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1153. ","Blue Fin Japanese Restaurant","(978) 750-1411","https://www.yellowpages.com/middleton-ma/mip/blue-fin-japanese-restaurant-1071201","Japanese Restaurants,Sushi Bars,Seafood Restaurants","http://www.bluefinmiddletonma.com","3","260 S Main St","Middleton","MA","01949","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1154. ","Chateau Restaurant","(781) 341-2503","https://www.yellowpages.com/stoughton-ma/mip/chateau-restaurant-8500308","Italian Restaurants,Family Style Restaurants,Banquet Halls & Reception Facilities","http://www.chateaurestaurant.com","1","1165 Park St","Stoughton","MA","02072","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1155. ","Mavericks Restaurant & Lounge","(978) 988-9292","https://www.yellowpages.com/tewksbury-ma/mip/mavericks-restaurant-lounge-442991","Cocktail Lounges,Bars,Taverns","http://www.facebook.com/mpmavericks","1","2212 Main St","Tewksbury","MA","01876","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1156. ","Lotus Flower Chinese Restaurant","(508) 872-6005","https://www.yellowpages.com/framingham-ma/mip/lotus-flower-chinese-restaurant-464847672","Chinese Restaurants,Caterers,Asian Restaurants","http://www.lotuscuisine.com","1","341 Cochituate Rd","Framingham","MA","01701","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1157. ","China Ruby Restaurant","(978) 897-5945","https://www.yellowpages.com/maynard-ma/mip/china-ruby-restaurant-10713410","Chinese Restaurants,Take Out Restaurants,Family Style Restaurants","http://www.chinaruby.com","1","42 Nason St","Maynard","MA","01754","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1158. ","Beijing House Restaurant","(781) 659-8188","https://www.yellowpages.com/norwell-ma/mip/beijing-house-restaurant-393174","Sushi Bars,Chinese Restaurants,Japanese Restaurants","http://www.beijinghouserestaurant.com","2","456 Washington St","Norwell","MA","02061","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1159. ","Mill Wharf Restaurant & Pub","(781) 545-3999","https://www.yellowpages.com/scituate-ma/mip/mill-wharf-restaurant-pub-473521968","American Restaurants,Seafood Restaurants,Taverns","http://www.millwharf.com","1","23 Mill Wharf Plz","Scituate","MA","02066","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1160. ","Rocco's Restaurant & Bar","(978) 657-7361","https://www.yellowpages.com/wilmington-ma/mip/roccos-restaurant-bar-9756005","American Restaurants,Caterers,Italian Restaurants","http://www.roccosma.com","1","193 Main St","Wilmington","MA","01887","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1161. ","Margaritas Mexican Restaurant","(508) 309-7348","https://www.yellowpages.com/framingham-ma/mip/margaritas-mexican-restaurant-460816713","Mexican Restaurants,Caterers,Restaurants","https://www.margs.com/locations/massachusetts/framingham","1","725 Cochituate Rd","Framingham","MA","01701","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1162. ","Bubbling Brook Restaurant","(781) 762-9860","https://www.yellowpages.com/westwood-ma/mip/bubbling-brook-restaurant-8209357","American Restaurants,Ice Cream & Frozen Desserts,Dessert Restaurants","http://www.bubblingbrook.net","1","1652 High St","Westwood","MA","02090","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1163. ","Riverview Restaurant","(978) 663-2515","https://www.yellowpages.com/north-billerica-ma/mip/riverview-restaurant-467787933","Vegetarian Restaurants,Family Style Restaurants,American Restaurants","http://www.riverviewrestaurant.org","1","263 Nashua Rd","North Billerica","MA","01862","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1164. ","D'ann's Restaurant","(781) 878-8767","https://www.yellowpages.com/abington-ma/mip/danns-restaurant-293178","American Restaurants,Take Out Restaurants,Caterers","http://www.dannsabington.com","1","340 Centre Ave","Abington","MA","02351","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1165. ","Charlie Chan's Restaurant","(508) 559-1776","https://www.yellowpages.com/brockton-ma/mip/charlie-chans-restaurant-5246598","Chinese Restaurants,Take Out Restaurants,Caterers","http://www.charliechansbrockton.com","1","1270 Main St","Brockton","MA","02301","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1166. ","East Coast Restaurant Supplies","(781) 767-9700","https://www.yellowpages.com/holbrook-ma/mip/east-coast-restaurant-supplies-8295118","Restaurant Equipment & Supply-Wholesale & Manufacturers,Restaurant Equipment & Supplies","http://www.eastcoastrestaurantsupply.com","","145 Union St","Holbrook","MA","02343","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1167. ","United Restaurant Equipment","(978) 439-5500","https://www.yellowpages.com/north-billerica-ma/mip/united-restaurant-equipment-2214057","Refrigeration Equipment-Commercial & Industrial,Restaurant Equipment & Supplies,Restaurant Equipment & Supplies-Refrigeration Equipment","http://unitedrestaurant.com","","1 Executive Park Dr","North Billerica","MA","01862","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1168. ","Emerald Rose Restaurant","(978) 667-0500","https://www.yellowpages.com/billerica-ma/mip/emerald-rose-restaurant-11116284","American Restaurants,Take Out Restaurants,Caterers","http://www.theemeraldrose.com","","785 Boston Rd","Billerica","MA","01821","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1169. ","Sam & Joe's Restaurant","(978) 774-6262","https://www.yellowpages.com/danvers-ma/mip/sam-joes-restaurant-2801301","Italian Restaurants,Pizza,American Restaurants","http://samandjoespizza.com","","30 Water St","Danvers","MA","01923","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
"1170. ","X & O Restaurant","(781) 344-1800","https://www.yellowpages.com/stoughton-ma/mip/x-o-restaurant-15660195","Bar & Grills,Bars,Caterers","","","217 Washington St","Stoughton","MA","02072","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=39"
