"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1351. ","Flava Jamaican Restaurant","(508) 510-4114","https://www.yellowpages.com/brockton-ma/mip/flava-jamaican-restaurant-509798562","Caribbean Restaurants,Restaurants","","","21 Torrey St","Brockton","MA","02301","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1352. ","East Coast Restaurant Supplies","(781) 767-9700","https://www.yellowpages.com/whitman-ma/mip/east-coast-restaurant-supplies-516230385","Restaurant Equipment & Supplies,Food Processing Equipment & Supplies","http://eastcoastrestaurantsupply.com","","21 Vernon St","Whitman","MA","02382","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1353. ","Salem Restaurant Corp","(978) 745-7665","https://www.yellowpages.com/manchester-ma/mip/salem-restaurant-corp-491746247","Restaurants","https://www.turners-seafood.com","","15 Highland Ave","Manchester","MA","01944","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1354. ","French's Restaurant","(978) 851-2111","https://www.yellowpages.com/tewksbury-ma/mip/frenchs-restaurant-495204077","Seafood Restaurants,French Restaurants,American Restaurants","http://www.frenchscatering.com","","825 Main St","Tewksbury","MA","01876","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1355. ","Golden Crown Restaurant 2","(978) 667-8108","https://www.yellowpages.com/north-billerica-ma/mip/golden-crown-restaurant-2-452924786","Chinese Restaurants,Family Style Restaurants,Take Out Restaurants","https://www.facebook.com/pages/Golden-Crown-Restaurant-2/120481164633085","","95 Boston Rd Ste 3","North Billerica","MA","01862","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1356. ","Stelio's Restaurant","(978) 528-5778","https://www.yellowpages.com/chelmsford-ma/mip/stelios-restaurant-504610550","Restaurants","","","293 Boston Rd","Chelmsford","MA","01824","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1357. ","South Shore Restaurant Equip","(781) 447-3300","https://www.yellowpages.com/whitman-ma/mip/south-shore-restaurant-equip-691500","Restaurant Equipment & Supply-Wholesale & Manufacturers","","","365 South Ave","Whitman","MA","02382","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1358. ","Gigi's Restaurant","(978) 793-8684","https://www.yellowpages.com/maynard-ma/mip/gigis-restaurant-529034983","Restaurants","http://www.gigisrestaurant.com","","177 Main St","Maynard","MA","01754","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1359. ","Bob's Family Restaurant","(508) 376-8615","https://www.yellowpages.com/millis-ma/mip/bobs-family-restaurant-13368623","Family Style Restaurants,Take Out Restaurants,Restaurants","https://www.facebook.com/breakfast20","","1115 Main St","Millis","MA","02054","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1360. ","Guido's Restaurant","(508) 660-1533","https://www.yellowpages.com/walpole-ma/mip/guidos-restaurant-462831044","Italian Restaurants,Mediterranean Restaurants,Take Out Restaurants","http://www.guidoswalpole.com","","Route 1A","Walpole","MA","02081","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1361. ","Ninety Nine Restaurant & Pub","(978) 863-9099","https://www.yellowpages.com/tewksbury-ma/mip/ninety-nine-restaurant-pub-546604813","Steak Houses,Restaurants","http://99restaurants.com","","401 Main St","Tewksbury","MA","01876","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1362. ","Restaurants To You","(617) 500-4494","https://www.yellowpages.com/north-easton-ma/mip/restaurants-to-you-515544525","Party & Event Planners,Meeting & Event Planning Services","http://restaurantstoyou.com","","110 Center St","North Easton","MA","02356","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
"1363. ","Le Lyonnais Restaurant","(978) 263-9068","https://www.yellowpages.com/acton-ma/mip/le-lyonnais-restaurant-7145466","Continental Restaurants,Caterers,French Restaurants","","","416 Great Rd","Acton","MA","01720","https://www.yellowpages.com/search?search_terms=Restaurent&geo_location_terms=Boston,Ma&page=46"
